dataset,family,expectation,method,accuracy,ari,nmi,purity,graph_seconds,eigensolver_seconds,kmeans_seconds,total_seconds,param_sigma_mode,param_sigma,param_gamma,param_n_neighbors,mem_X,mem_affinity_sparse,mem_nnz_affinity,mem_embedding
two_moons,success,"Low-dimensional, non-convex manifolds; spectral should clearly beat k-means.",spectral,1.0,1.0,1.0,1.0,0.0009567079999999173,0.020637666999999915,0.023385958999999956,0.04498033399999979,median_retained_edge_scale,0.06228079941651258,128.90259117379074,12.0,8000.0,88812.0,7234.0,8000.0
two_moons,success,"Low-dimensional, non-convex manifolds; spectral should clearly beat k-means.",kmeans,0.748,0.24450207299571752,0.1855866610200871,0.748,,,0.01002462500000001,,,,,,,,,
circles,success,Concentric rings violate the convex-cluster assumption of k-means.,spectral,1.0,1.0,1.0,1.0,0.001499249999999952,0.01853791700000018,0.0075768750000000384,0.027614042000000172,median_retained_edge_scale,0.06752078635175997,109.67181261688481,14.0,8000.0,96492.0,7874.0,8000.0
circles,success,Concentric rings violate the convex-cluster assumption of k-means.,kmeans,0.5,-0.002008032128514056,1.2813706015259669e-15,0.5,,,0.01082116700000002,,,,,,,,,
blobs,success,Well-separated convex clusters; both methods should do well.,spectral,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.0010599170000000768,0.009224625000000097,0.006229792000000067,0.01651433400000024,median_retained_edge_scale,0.22560819070883628,9.823364952004168,12.0,9600.0,109540.0,8928.0,14400.0
blobs,success,Well-separated convex clusters; both methods should do well.,kmeans,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,,,0.014751624999999935,,,,,,,,,
high_dim_moons,success,Two moons embedded in 20D with noise coordinates; spectral should still exploit neighborhood geometry.,spectral,0.8183333333333334,0.40435013676790726,0.31635104418174465,0.8183333333333334,0.003930082999999973,0.0015270839999999009,0.01023545799999992,0.015692624999999794,median_retained_edge_scale,1.143540201784519,0.3823553137976691,16.0,96000.0,173764.0,14280.0,9600.0
high_dim_moons,success,Two moons embedded in 20D with noise coordinates; spectral should still exploit neighborhood geometry.,kmeans,0.755,0.25886272280076694,0.19674690627156094,0.755,,,0.01687337500000008,,,,,,,,,
high_dim_blobs,success,High-dimensional but well-separated blobs; both methods should remain strong.,spectral,1.0,1.0,1.0,1.0,0.01070850000000001,0.003552875000000011,0.012562167000000013,0.026823542000000034,median_retained_edge_scale,11.847414386176625,0.003562237295973902,18.0,320000.0,269556.0,22196.0,25600.0
high_dim_blobs,success,High-dimensional but well-separated blobs; both methods should remain strong.,kmeans,1.0,1.0,1.0,1.0,,,0.012721249999999795,,,,,,,,,
overlapping_blobs_failure,stress,Heavy overlap makes any graph partition ambiguous; both methods should degrade.,spectral,0.6483333333333333,0.3010709670777195,0.2939102227516107,0.6483333333333333,0.0011427920000000036,0.005346416999999937,0.01728987500000012,0.02377908400000006,median_retained_edge_scale,0.17634463126825733,16.078499620260967,12.0,9600.0,105316.0,8576.0,14400.0
overlapping_blobs_failure,stress,Heavy overlap makes any graph partition ambiguous; both methods should degrade.,kmeans,0.57,0.2537533996147862,0.24768295252326503,0.6066666666666667,,,0.016506042000000054,,,,,,,,,
bridge_failure,stress,"A thin bridge creates a near-connection between clusters, so normalized cuts can merge them.",spectral,0.8716666666666667,0.5518463605662874,0.5537899609558614,0.8716666666666667,0.002057375000000139,0.008956625000000162,0.006652166999999931,0.017666167000000232,median_retained_edge_scale,0.1102560535599003,41.13060685201244,14.0,9600.0,124828.0,10202.0,9600.0
bridge_failure,stress,"A thin bridge creates a near-connection between clusters, so normalized cuts can merge them.",kmeans,0.865,0.532174165600094,0.5406280294229847,0.865,,,0.00801433400000029,,,,,,,,,
